Account Name,City,Address,County State,Zip Code,R12 Segment,R36 New Unit Revenue,R12 Service Revenue,R12 Rental Revenue,R12 Aftermarket Revenue,Min of Latitude,Min of Longitude
HONDA OF AMERICA - IAP,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$5872528,$1586982,$73493,$1790522,39.36873925,-85.54191952
KNAUF INSULATION - PLANT 1,SHELBYVILLE,400 WALKER ST,Shelby IN,46176,A1,$4862120,$2152109,$1912525,$2505923,39.52762900,-85.76828600
KNAUF INSULATION - PLANT 2,LANETT,3502 43RD ST SW,Chambers AL,36863,A1,$2851498,$38199,$333608,$2136063,,
PROGRESSIVE LOGISTICS,GREENFIELD,4268 W 300 NORTH,Hancock IN,46140,A1,$2838851,$185714,$320870,$330365,39.82823300,-85.88328800
ELANCO,CLINTON,10500 SOUTH ST RD 63,Vermillion IN,47842,C3,$2517656,$30217,$0,$50431,,
KNAUF INSULATION,SHELBYVILLE,1 KNAUF DR,Shelby IN,46176,A1,$2047102,($4926),$0,$2233142,39.53338900,-85.77543100
BECK'S SUPERIOR HYBRIDS,ATLANTA,6767 E 276th ST,Hamilton IN,46031,B1,$1920425,$5166,$57168,$82383,40.18954200,-86.04952700
KNAUF INSULATION,MCGREGOR,3000 JUDITH ROAD,McLennan TX,76657,A1,$1791765,$0,$0,$2132139,,
AMPACET CORPORATION,TERRE HAUTE,3701 N FRUITRIDGE AVE,Vigo IN,47804,B1,$1478731,$26439,$60434,$112234,39.51107012,-87.36038712
VENTURE LOGISTICS,LAFAYETTE,1450 NAVCO DR,Tippecanoe IN,47905,A2,$1350765,$75262,$94701,$423278,40.40434285,-86.85353998
SUPREME A WABASH CO,JONESTOWN,411 JONESTOWN RD,Lebanon PA,17038,C2,$1286103,($7176),$22247,$35182,40.41246316,-76.48963333
STEEL DYNAMICS INC,BUTLER,4500 COUNTY ROAD 59,DeKalb IN,46721,C3,$1196270,$56542,$0,$28570,41.37045900,-84.90826900
KNAUF INSULATION,INWOOD,4812 TABLER STATION RD,Berkeley WV,25428,A1,$1185215,$226527,$303443,$4362569,39.40281380,-78.02212864
FALCON DIVERSIFIED INC,COLUMBUS,6200 S INTERNATIONAL DR,Bartholomew IN,47201,B1,$961034,$69710,$23872,$149714,39.14347200,-85.96505000
STERIS CORPORATION,INDIANAPOLIS,6015 W 79TH STREET,Marion IN,46278,B1,$847241,$32868,$221586,$137392,39.89595239,-86.26703459
"GEON Performance Solutions, LLC",TERRE HAUTE,3100 N 35TH ST,Vigo IN,47804,B1,$843184,$60765,$28019,$152954,39.50653000,-87.36669800
307 CORPORATION,LAFAYETTE,4464 VETERANS MEMORIAL PKWY S,Tippecanoe IN,47905,C1,$750812,$63719,$24526,$130593,,
SCHWARZ PARTNERS,MONROVIA,SR 39 & I-70 BLDG IV,Morgan IN,46158,B1,$742139,$0,$0,$117486,,
RYOBI DIE CASTING,SHELBYVILLE,525 INDUSTRIAL PARK DRIVE,Shelby IN,46176,A1,$714357,$1444206,$109100,$2633223,39.54253400,-85.78905500
STEEL DYNAMICS NORTH AMERICA,COLUMBIA CITY,2700 SOUTH 800E,Whitley IN,46725,B2,$658344,$668,$0,$122968,,
CARGOLOOP,ELIZABETH,888 MCLESTER STREET,Union NJ,07201,C2,$638683,$0,$0,$28476,40.66541401,-74.16564947
2M RESOURCES,HOPEDALE,141 MENDON STREET,Worcester MA,01747,A1,$625580,$0,$0,$2132139,42.12500860,-71.53871580
HERITAGE PRODUCTS INC,CRAWFORDSVILLE,2000 SMITH AVE,Montgomery IN,47933,C2,$617650,$24435,$20699,$44750,40.07595300,-86.90030200
HARLAN BAKERIES,AVON,7597 E U.S. HIGHWAY 36,Hendricks IN,46123,A1,$605913,$322481,$480577,$549157,39.76032000,-86.38905900
CAPACITY LLC,WHITESTOWN,4330 S 500E,Boone IN,46075,A1,$485679,$10348,$213332,$223740,,
VENTURE LOGISTICS,INDIANAPOLIS,PO BOX 681548,Marion IN,46268,A2,$474538,$0,$0,$423278,,
PET SUPPLY PLUS,ORANGEBURG,122 PALMETTO COMMERCE PARKWAY,Orangeburg SC,29115,P,$408874,$0,$0,$0,33.46166000,-80.72155000
NORTH VERNON INDUSTRY,NORTH VERNON,3750 4th ST,Jennings IN,47265,C2,$408182,$8775,$0,$69771,39.04013600,-85.62447800
WIESE PLANNING & ENGR,LAFAYETTE,3119 OLYMPIA DRIVE,Tippecanoe IN,47909,C3,$372938,$0,$0,$77605,40.37673432,-86.86211573
STEVANATO GROUP,FISHERS,12337 PARKSIDE DRIVE,Hamilton IN,46038,B1,$353436,$286,$0,$99641,39.96940400,-85.99959400
KNAUF INSULATION,ALBION,1000 E NORTH ST,Calhoun MI,49224,A1,$351501,$157037,$120227,$2132139,42.25276230,-84.74039143
GARTLAND FOUNDRY CO,TERRE HAUTE,330 GRANT ST,Vigo IN,47802,C1,$350497,$16480,$7975,$36787,39.44313700,-87.41343012
THE BRULIN CORPORATION,INDIANAPOLIS,2920 DR. ANDREW J BROWN,Marion IN,46206,B2,$346823,$9349,$63491,$91126,39.80951710,-86.13560780
TOUCHPOINT PACKAGING,SEYMOUR,2245 KILLION AVE,Jackson IN,47274,C1,$344292,$9362,$24691,$40239,38.96944658,-85.85734823
PROGRESSIVE LOGISTICS,GREENFIELD,4268 WEST 300 N,Hancock IN,46140,A1,$340304,$25628,$22120,$347684,39.82824800,-85.88328800
GREEN RABBIT,WHITESTOWN,5157 SR 267,Boone IN,46075,D3,$326682,$2983,($1552),$4752,,
COOK MANAGEMENT,WESTFIELD,20099 N EAST STREET,Hamilton IN,46074,C1,$319808,$4304,$0,$19888,40.07984930,-86.12012995
PCA,GAS CITY,520 S FIRST ST,Grant IN,46933,B1,$308889,$165833,($1700),$124684,40.48382218,-85.61499993
JOHN HAYWARD,VICKSBURG,13523 EAST W AVENUE,Kalamazoo MI,49097,B1,$305960,$0,$0,$82383,,
HARTZ MOUNTAIN CORP,PLAINFIELD,445 AIRTECH PKWY,Hendricks IN,46168,D2,$294156,$7100,$3932,$5516,39.71426750,-86.34438880
SWS REDISTRIBUTION CO,BROWNSBURG,9915 LACEY KNOT DRIVE,Hendricks IN,46112,C2,$293600,$336,$0,$14080,39.83334900,-86.34870300
ARROW CONTAINER CO,INDIANAPOLIS,6550 E 30TH STREET,Marion IN,46219,B3,$287975,$24295,$25013,$160254,39.81112530,-86.05455685
CATERPILLAR,BOGART,250 DOZER DRIVE,Oconee GA,30622,A2,$284170,$0,$0,$423278,,
MASTIN & CAIN PROPERTIES,SHELBYVILLE,1045 N MICHIGAN RD,Shelby IN,46176,B2,$279998,($5563),$0,$98290,39.53427987,-85.78062607
MACTAC CORPORATION,COLUMBUS,2576 NORCROSS DR,Bartholomew IN,47201,A1,$262921,$239961,$9565,$259071,39.13930600,-85.94967300
STEEL DYNAMICS HEARTLAND,TERRE HAUTE,455 W INDUSTRIAL DR,Vigo IN,47802,C2,$262323,$1928,$38549,$43140,39.34386200,-87.42020400
TEC INDUSTRIAL TIRE LLC,INDIANAPOLIS,2123 FLETCHER AVE,Marion IN,46203,D3,$261872,$0,$0,$1508,39.75788067,-86.12554356
ROCHE DIAGNOSTIC OPERATIONS,INDIANAPOLIS,9273 CASTLEGATE DR,Marion IN,46256,P,$258983,$0,$0,$0,39.92294642,-86.02659833
PHOENIX CLOSURES INC,BLOOMINGTON,1425 SOUTH CURRY PIKE,Monroe IN,47403,C1,$243998,$9241,$0,$50976,39.15439515,-86.58253517
NHK SEATING,FRANKFORT,2298 IN-28,Clinton IN,46041,C2,$239200,$25011,$0,$59313,,
NANSHAN AMERICA,LAFAYETTE,3600 US HWY 52 S,Tippecanoe IN,47905,C3,$238393,$38441,$0,$40541,40.36507700,-86.82669500
BOAR'S HEAD PROVISIONS CO,NEW CASTLE,125 EAST CR 400S,Henry IN,47362,B2,$235421,$2173,$102579,$172334,,
ATTERBURY JOB CORPS CENTER,EDINBURGH,3129 EDINBURGH,Johnson IN,46124,P,$227873,$0,$0,$0,,
ROYAL BOX GROUP LLC DBA:INDIANA BOX,GREENFIELD,2200 ROYAL DRIVE,Hancock IN,46140,D1,$226392,$10917,$3960,$7776,39.81582700,-85.79255900
FRANK BRUNKHORST,NEW CASTLE,3995 BROOKS DR,Henry IN,47362,P,$224975,$0,$0,$0,39.87416900,-85.38161900
"ECOBAT RESOURCES INDIANA, LLC",INDIANAPOLIS,7870 W MORRIS ST,Marion IN,46231,B1,$224725,$13685,$0,$88158,39.74957565,-86.30158100
MASTIN & CAIN PROPERTIES,GREENWOOD,764 N GRAHAM RD,Johnson IN,46143,B2,$223000,$27002,$0,$98290,39.62509565,-86.06380094
CARRIER COMPANY,INDIANAPOLIS,7310 W MORRIS ST,Marion IN,46241,A2,$211770,$1131087,$2211522,$1149681,39.74963794,-86.29365534
"SIMS BARK CO., INC",CROTHERSVILLE,1150 E COUNTY ROAD,Jackson IN,47229,C1,$211529,$0,$0,$70990,,
JORDAN MUXFELDT,BEAMAN,410 CENTER STREET,Grundy IA,50609,B1,$209732,$0,$0,$82383,42.22120906,-92.82582827
GREAT DANE TRAILERS,TERRE HAUTE,4949 N 13TH ST,Vigo IN,47805,D2,$203985,$0,$2325,$2856,39.52634714,-87.39792326
CAPITOL CITY CONTAINER,INDIANAPOLIS,8240 ZIONSVILLE RD,Marion IN,46268,C3,$192827,$15312,$11424,$28454,39.90461100,-86.26072340
BROTHERS AUTO SALVAGE,INDIANAPOLIS,1000 S KITLEY AVENUE,Marion IN,46203,D3,$191778,$1587,$0,$1587,39.75411190,-86.05501957
PLASTIC RECYCLING,INDIANAPOLIS,7601 ROCKVILLE ROAD,Marion IN,46214,P,$186688,$0,$0,$0,39.76414986,-86.29508289
KNAUF INSULATION - PLANT 3,SHELBYVILLE,100 KNAUF DR,Shelby IN,46176,A1,$184085,$80246,$59573,$2132139,39.53363300,-85.77301600
GREAT DANE TRAILERS,TERRE HAUTE,4955 N 13TH ST,Vigo IN,47805,C1,$183000,$21314,$78447,$38395,39.52644577,-87.39792437
RYDER PEPSICO,LAFAYETTE,3701 DAVID HOWARTH DRIVE,Tippecanoe IN,47909,A2,$182529,$0,$0,$1022937,40.36550727,-86.83469479
METALS & ADDITIVES CORP,BRAZIL,10665 N STATE RD 59,Clay IN,47834,C3,$182220,$16526,$1557,$23630,39.54300600,-87.12856700
MASTIN & CAIN PROPERTIES,OPELIKA,1800 CRAWFORD RD,Lee AL,36804,B2,$179870,$0,$76254,$98290,32.60450143,-85.34276204
BECK'S HYBRIDS,PONTIAC,14087 N 1800E RD,Livingston IL,61764,B1,$171556,$0,$0,$82383,,
PCA SOUTHERN,COLUMBUS,3460 COMMERCE DR,Bartholomew IN,47201,B3,$166569,$233284,$117360,$177168,39.23575500,-85.93489500
PROGRESSIVE LOGISTICS,PLAINFIELD,600 PERRY RD,Hendricks IN,46168,A1,$166101,$15360,$75756,$313943,39.69730000,-86.35581400
ARROW CONTAINER CO,INDIANAPOLIS,2900 N SHADELAND,Marion IN,46219,B3,$164260,$104029,$69513,$176676,39.80867400,-86.04834000
AMERICAN FIBERTECH CORPORATION,LAFAYETTE,701 NAVCO DRIVE,Tippecanoe IN,47905,C2,$146188,$0,$0,$22127,40.41010600,-86.85328500
JUPITER ALUMINUM,FAIRLAND,205 CAREY STREET,Shelby IN,46126,B2,$146110,$136743,$4328,$154461,39.58324900,-85.85891200
INDOT - WINIMAC LOGISTICS 800IDOT74,WINIMAC,1651 N US35,Pulaski IN,46996,P,$145382,$0,$0,$0,,
PHOENIX CLOSURES INC (GC),GREENCASTLE,2000 S JACKSON ST,Putnam IN,46135,C1,$144253,$36792,$2765,$50976,39.62672900,-86.87592800
DXL 3PL LLC,INDIANAPOLIS,7520 GEORGETOWN ROAD,Marion IN,46268,C2,$142272,$0,$0,$14080,39.88863455,-86.24428118
AMERICAN FIBERTECH CORPORATION,GREENCASTLE,225 N CARLISLE STREET,Franklin PA,17225,C2,$142072,$0,$0,$22127,39.79378624,-77.72607394
COOK MEDICAL,BLOOMINGTON,400 DANIELS WAY,Monroe IN,47402,C3,$135817,$9213,$0,$61511,39.17052400,-86.59730700
DELTA FAUCET COMPANY,GREENSBURG,1425 W MAIN ST,Decatur IN,47240,D3,$133914,$6407,$0,$6713,39.33536600,-85.50476900
HONDA - ASSEMBLY FRAME,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$131762,$7200,$5400,$1515602,39.36873925,-85.54191952
BEATY CONSTRUCTION INC,BOGGSTOWN,5292 W 100TH N,Shelby IN,46110,C3,$129283,$780,$0,$14142,,
C-TECH CORPORATION,BOGGSTOWN,5300 N 100N,Shelby IN,46110,P,$129283,$0,$0,$0,,
OMPI OF AMERICA INC,NEWTOWN,41 UNIVERSITY DRIVE,Bucks PA,18940,B1,$128216,$0,$0,$99641,40.22293405,-74.90588048
WAREHOUSE ASSOCIATES INC,INDIANAPOLIS,3036 MADAN PARK DR,Marion IN,46241,C1,$126067,$14133,($450),$13708,39.72023050,-86.26170740
COVANTA ENVIRONMENTAL SOLUTIONS,INDIANAPOLIS,2515 S HOLT ROAD,Marion IN,46241,C1,$125050,$30153,$9199,$46515,39.72935943,-86.22510171
THE ANDERSONS PLANT NUTRIENT LLC,SEYMOUR,101 AGRICO LANE,Jackson IN,47274,D2,$123842,$0,$0,$1136,38.95890994,-85.86267070
BROAD-OCEAN MOTOR LLC,WHITESTOWN,4900 ALBERT S WHITE DR,Boone IN,46075,C2,$123537,$705,$15184,$21254,39.98138900,-86.37645500
"BIG CREEK, LLC",GOSPORT,8636 W MT CARMEL ROAD,Owen IN,47433,P,$120759,$0,$0,$0,39.29622510,-86.66094333
HENRY POOR LUMBER CO,LAFAYETTE,3315 BRADY LANE,Tippecanoe IN,47909,C2,$119700,$12511,$4025,$26809,40.38181087,-86.85540941
AUTOMATIC POOL COVERS,WESTFIELD,17397 OAK RIDGE RD,Hamilton IN,46074,C3,$119643,$20416,$0,$21720,40.03963043,-86.14591100
GARED HOLDINGS LLC,NOBLESVILLE,9200 E 146th ST,Hamilton IN,46060,C3,$118746,$20133,$5404,$32811,40.00084400,-86.00861100
INDUSTRIAL RECYCLING SERVICES,SEYMOUR,780 S CR 400E,Jackson IN,47274,P,$117371,($811),$0,($648),,
CITIZENS THERMAL ENERGY,INDIANAPOLIS,2150 DR MARTIN LUTHER,Marion IN,46202,P,$116137,$0,$0,$0,39.79710100,-86.17134600
DIAMOND PLASTICS CORPORATION,MUNCIE,4100 S NILES,Delaware IN,47302,C2,$115991,$32249,$17143,$51673,40.15573800,-85.41148400
CASTILLO,COLUMBUS,4505 KELLY ST,Bartholomew IN,47203,C2,$115725,$722,$34125,$36126,39.25119518,-85.89906830
DuBOSE MANUFACTURING,CRAWFORDSVILLE,4414 EAST 400 SOUTH,Montgomery IN,47933,C1,$115388,$16405,$0,$16943,39.98224700,-86.81945800
INDOT FORT WAYNE,FORT WAYNE,5333 HATFIELD ROAD,Allen IN,46808,P,$109750,$0,$0,$0,41.12758400,-85.17738000
FALCON DIVERSIFIED INC,CHARLESTON,4500 LEEDS AVE,Charleston SC,29405,B1,$109325,$7200,$0,$149714,,
VOLUMOD INDY LLC,INDIANAPOLIS,3049 N POST ROAD,Marion IN,46226,P,$103416,$0,$0,$0,39.81223594,-86.00963124
TAGHLEEF INDUSTRIES INC,ROSEDALE,3600 E HEAD AVE,Parke IN,47874,A1,$102687,$34310,$275642,$603041,39.59352801,-87.36031183
FINISH LINE TECHNOLOGIES,MORGAN HILL,745 JARVIS DRIVE,Santa Clara CA,95037,C3,$102250,$0,$0,$14745,37.14769500,-121.64931900
JOBSITE SUPPLY INC,INDIANAPOLIS,1940 W OLIVER AVE,Marion IN,46221,C2,$100401,$8769,$16650,$31622,,
KNAUF INSULATION,SHASTA LAKE,3100 ASHBY RD,Shasta CA,96019,A1,$97855,$0,$2650,$2132139,40.65823700,-122.38863300
WWL VEHICLE SERVICES AMER,LAFAYETTE,5000-A STATE RD 38 EAST,Tippecanoe IN,47905,D2,$95364,$2298,$0,$2446,40.37836300,-86.80730200
SCOTT PET PRODUCTS,ROCKVILLE,1543 N US HIGHWAY 41,Parke IN,47872,B1,$92533,$22706,$73710,$274871,,
BECK'S SUPERIOR HYBRIDS,COON RAPIDS,1001 DOGWOOD AVENUE,Carroll IA,50058,B1,$92266,$0,$0,$82383,41.85073489,-94.67654394
WHITE CASTLE SYSTEM INC,LEBANON,1502 W MAIN ST,Boone IN,46052,P,$92175,$0,$0,$0,40.04762727,-86.48546520
FCA,KOKOMO,3660 N US 31,Howard IN,46901,A3,$91156,$0,$0,$302668,,
SCHWARZ PARTNERS,MOORESVILLE,2630 WESTPOINT BLVD,Morgan IN,46158,B1,$91092,$2818,$111199,$117486,,
FACADETEK,INDIANAPOLIS,5110 WEST 76TH ST,Marion IN,46268,C2,$90416,$9835,$1391,$22447,39.89117047,-86.24936990
INSCALE,TERRE HAUTE,1607 MAPLE AVENUE,Vigo IN,47804,D3,$89877,$5984,$0,$4708,39.49203013,-87.39113044
GREENLEAF INC,FONTANET,9490 N BALDWIN ST,Vigo IN,47851,C3,$87481,$13831,$0,$13831,39.58069900,-87.24744100
VMI LLC,FRANKFORT,901 WEST MORRISON STREET,Clinton IN,46041,D3,$86259,$143,$0,$143,40.28340803,-86.52113851
LESTER SALES,INDIANAPOLIS,9228 E 33RD STREET,Marion IN,46235,D3,$86013,$75,$0,$606,39.81655090,-86.00618068
BECK'S HYBRIDS,COLFAX,11250 FEDERAL AVE,Jasper IA,50054,B1,$84631,$0,$0,$82383,41.69080470,-93.25484250
BECK'S SUPERIOR HYBRIDS,SEWARD,934 364TH,Seward NE,68434,B1,$83490,$0,$0,$82383,40.82497529,-97.21604706
INDOT CLOVERDALE,CLOVERDALE,10 N HIGH STREET,Putnam IN,46120,D3,$82313,$0,$0,$88,,
"SIMS BARK CO., INC",CROTHERSVILLE,6596 S CR 1150E,Jackson IN,47229,C1,$82022,$10564,$7010,$70990,,
PACE AIR FREIGHT,PLAINFIELD,3345 E MAIN STREET,Hendricks IN,46168,P,$81593,$0,$0,$0,39.72786800,-86.33012000
SPECTRA METAL SALES,WHITESTOWN,4625 ANSON BOULEVARD,Boone IN,46075,C2,$81364,$15213,$2140,$17353,39.97410100,-86.38090900
REX AUTO PARTS,CICERO,22265 US HWY 31,Hamilton IN,46034,C2,$77862,$0,$0,$28476,,
FLUTES INC,INDIANAPOLIS,8254 ZIONSVILLE RD,Marion IN,46268,A2,$77091,$135847,$19617,$207860,39.90521150,-86.26226130
WABASH VALLEY SERVICE CO,MCLEANSBORO,109331 COAL MINE ROAD,Hamilton IL,62859,D3,$75302,$0,$0,$887,,
RYDER LOGISTICS,LAFAYETTE,5600 HAGGERTY LANE,Tippecanoe IN,47905,A3,$75134,$164532,$542682,$314248,40.38895300,-86.82999100
GREAT DANE TRAILERS,TERRE HAUTE,4955 N 13TH STREET,Vigo IN,47805,C1,$74668,$500,$2830,$37095,39.52644577,-87.39792437
STRYTEN ENERGY,COLUMBUS,2407 NORCROSS DRIVE,Bartholomew IN,47201,P,$74549,$0,$0,$0,39.13647986,-85.94833984
A & N LOGISTICS,INDIANAPOLIS,5801 W 82ND STREET,Marion IN,46278,P,$74533,$0,$0,$0,39.90143190,-86.26308069
HARTSON-KENNEDY CABINET TOP CO INC,MARION,522 W 22ND ST,Grant IN,46953,D3,$73985,$0,$0,$1143,40.54151000,-85.66660300
FALCON DIVERSIFIED INC,INDIANAPOLIS,4430 STOUT FIELD N DR,Marion IN,46241,B1,$73000,$3148,$8096,$149714,39.73316382,-86.23659768
TRANSTEX LLC,INDIANAPOLIS,8219 NORTHWEST BLVD,Marion IN,46278,C2,$72641,$1962,$10800,$12762,,
TAGHLEEF INDUSTRIES INC,TERRE HAUTE,425 BROWN AVE,Vigo IN,47803,A1,$71808,$16057,$51170,$592149,39.47872785,-87.36772268
CIRCLE CITY REBAR,INDIANAPOLIS,4002 INDUSTRIAL BLVD,Marion IN,46254,D2,$70924,$0,$5550,$7456,39.82739050,-86.22844034
ALTA MATERIAL HANDLING,SCHENECTADY,2820 CURRY ROAD,Schenectady NY,12303,P,$69528,$0,$0,$0,42.75097570,-73.91634160
COOK INC.,ELLETTSVILLE,6300 N MATTHEWS DR,Monroe IN,47429,C3,$69232,$23121,$0,$61511,39.24385400,-86.62084960
MAXLITE INC,GREENWOOD,305 CHANEY AVE,Johnson IN,46143,P,$69098,$0,$0,$0,39.61871600,-86.06898500
DIAMOND PET FOODS,RUSHVILLE,2530 NORTH SR3,Rush IN,46173,D2,$68988,$845,$0,$1040,,
CENTRAL AG LLC,BURNS,14436 S HOPKINS SWITCH ROAD,Marion KS,66840,P,$68204,$0,$0,$0,,
RYDER ROCKWELL,WHITESTOWN,4255 S 500E,Boone IN,46075,A2,$67913,$405076,$24892,$429968,,
RHENUS WAREHOUSING SOLUTIONS IND LL,PLAINFIELD,915 AIRTECH PARKWAY,Hendricks IN,46168,D3,$67527,$1346,$6766,$8112,,
CERROWIRE,CROTHERSVILLE,1002 INDUSTRIAL WAY,Jackson IN,47229,B3,$67314,$33107,$102790,$284277,38.78808200,-85.83800800
VISTA BUILDING SERVICE,COATESVILLE,3793 SOUTH COUNTY RD 700W,Putnam IN,46121,D1,$66250,$654,$0,$9159,,
IN DOH LOGISTICS CENTER,INDIANAPOLIS,6400 E 30TH STREET,Marion IN,46219,D3,$64727,$361,$0,$361,39.81253025,-86.05654499
IND DEPT OF REV RTRNS PROCESSNG CTR,INDIANAPOLIS,7811 MILHOUSE RD,Marion IN,46241,D3,$64447,$1217,$0,$608,39.67524245,-86.29666873
NIKKEI ALUMINUM AMERICA INC,COLUMBUS,6875 S INWOOD DRIVE,Bartholomew IN,47201,C2,$64011,$2573,$0,$27619,39.13604400,-85.95208900
FCA US KEP,KOKOMO,3360 N US 31,Howard IN,46901,A3,$63825,$64288,$0,$302668,,
HER HOME DESIGN BUILD LLC,INDIANAPOLIS,4400 WEST 96TH STREET,Marion IN,46268,D3,$63234,$0,$1676,$838,39.92603153,-86.23492411
HERITAGE CRYSTAL CLEAN,INDIANAPOLIS,4312 W MINNESOTA ST,Marion IN,46241,A1,$63215,$16512,$127967,$677968,39.74439495,-86.23552078
KN PLATECH AMERICA CORPORATION,SHELBYVILLE,1755 MCCALL DRIVE,Shelby IN,46176,D3,$61651,$807,$0,$807,39.55176450,-85.78345160
SHORR PACKAGING,MCCORDSVILLE,5940 ENTERPRISE DRIVE,Hancock IN,46055,C2,$60428,$392,$14267,$24417,39.85323700,-85.91411300
MAJOR TOOL,INDIANAPOLIS,2045 DR ANDREW BROWN AVE,Marion IN,46202,C2,$60000,$15315,$0,$39878,39.79433410,-86.13479230
SHIPCALM LLC,PLAINFIELD,8377 CAMBY ROAD,Hendricks IN,46168,D3,$59712,$7737,$0,$7737,,
CLAAS OF AMERICA,COLUMBUS,3030 NORCROSS DR,Bartholomew IN,47202,C2,$59385,$38828,$0,$58870,39.14116200,-85.95649800
BROWNING CHAPMAN LLC,WESTFIELD,2101 BASTIAN CT,Hamilton IN,46074,C1,$59212,$0,$0,$42065,40.07899496,-86.12328061
DANA/FAIRFIELD,LAFAYETTE,2400 SAGAMORE PKWY S,Tippecanoe IN,47903,A1,$55957,$462,$112232,$592692,40.39232500,-86.85422600
AMTRAK,BEECH GROVE,202 GARSTANG,Marion IN,46107,C2,$54974,$21956,$28625,$75928,39.71964570,-86.07853056
INDOT TELL CITY-VINCENNES,TELL CITY,15077 OLD SR 37,Perry IN,47586,P,$54875,$0,$0,$0,,
ATLAS FOUNDRY COMPANY,MARION,601 NORTH HENDERSON AVE,Grant IN,46952,D2,$54035,$123,$0,$190,40.56720600,-85.68271100
COSMOS SUPERIOR FOODS,INDIANAPOLIS,10611 E 59TH STREET,Marion IN,46236,C3,$52250,$204,$0,$13245,39.86303388,-85.97935798
KING DISTRIBUTION,INDIANAPOLIS,2200 S TIBBS,Marion IN,46241,D3,$51944,$0,$0,$3646,39.73514500,-86.21704800
ACCURATE MFG PRODUCTS GROUP,INDIANAPOLIS,8090 WOODLAND DR,Marion IN,46278,C3,$50988,$0,$10700,$10700,39.89948420,-86.26869970
HONDA,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$50931,$168819,$4495,$1515602,39.36873925,-85.54191952
PITCHFORD ELEVATOR,RICHVIEW,880 S LOCUST,Washington IL,62877,P,$49845,$0,$0,$0,38.36787680,-89.17782210
BERRY PLASTICS,FRANKLIN,1900 COMMERCE PKWY,Johnson IN,46131,C1,$49457,$38371,$20865,$41927,39.49830826,-86.05088062
INDIANA CAST STONE COMPANY,SPENCER,650 W MARKET STREET,Owen IN,47460,D3,$49198,$2113,$0,$2113,39.28491586,-86.76935605
APPLIED LABORATORIES,COLUMBUS,3240 N INDIANAPOLIS RD,Bartholomew IN,47202,D2,$49125,($129),$0,$2242,39.22924200,-85.93565900
BOSMA ENTERPRISES,INDIANAPOLIS,7225 WOODLAND DR,Marion IN,46278,C3,$48435,$1416,$0,$13983,39.88420645,-86.26574130
IPALCO,MARTINSVILLE,4040 BLUE BLUFF RD,Morgan IN,46151,D3,$48035,$0,$0,$2328,39.48422761,-86.41740318
MARK MILLER COMPANY LLC,SALVISA,1178 CUMMINS FERRY ROAD,Mercer KY,40372,P,$47657,$0,$0,$0,37.87558500,-84.81579400
OLIVER WINERY,BLOOMINGTON,200 E WINERY ROAD,Monroe IN,47404,D3,$47500,$450,$0,$450,39.28169200,-86.52129800
VIPER USA,WEST LAFAYETTE,345 BURNETT RD,Tippecanoe IN,47906,D3,$45866,$376,$0,$935,40.48750400,-86.86478200
HARVEST SUPERMARKETS INC,ELWOOD,2927 SOUTH A STREET,Madison IN,46036,D3,$45856,$0,$0,$4481,40.27584700,-85.82196700
MODERN MATERIALS INC,ROCHESTER,435 NORTH STATE ROAD 25,Fulton IN,46975,P,$45430,$0,$0,$0,41.06904300,-86.19059300
VULCRAFT,ST. JOE,6610 COUNTY RD 60,DeKalb IN,46785,D3,$44589,$0,$0,$3837,,
VALUE ADDED RESOURCES - WILSON LOG,INDIANAPOLIS,7900 ROCKVILLE RD,Marion IN,46214,D3,$44543,$4170,$0,$4240,,
BECKS HYBRIDS,PARIS,12490 E 950TH ROAD,Edgar IL,61944,B1,$44508,$0,$0,$82383,39.60997250,-87.73543920
CUMBERLAND VALLEY AG,RIDDLETON,11 CATESA FARMS LANE,Smith TN,37151,P,$44508,$0,$0,$0,36.33951600,-86.03280000
EMP TECHNICAL GROUP,WESTFIELD,17450 TILLER COURT,Hamilton IN,46074,D3,$44405,$0,($268),$483,40.04006273,-86.15344665
TOYO-RO AMERICAN INC,COLUMBUS,650 BEHREN COURT,Bartholomew IN,47201,D2,$44282,$264,$0,$2000,39.18976300,-85.88971200
WABASH NATIONAL,LAFAYETTE,1000 SAGAMORE PKWY,Tippecanoe IN,47905,C2,$43890,$0,$0,$24059,40.40675100,-86.85886000
MCKINLEY PACKAGING COMPANY,LEBANON,640 S STATE RD 39,Boone IN,46052,B2,$43671,$40586,$116922,$164943,40.03066800,-86.47461200
BLAIREX LABORATORIES,COLUMBUS,1600 BRIAN DRIVE,Bartholomew IN,47201,D2,$42732,$0,$0,$2242,39.22712000,-85.93547900
NEW CASTLE STAINLESS PLATE LLC,NEW CASTLE,549 W STATE RD 38,Henry IN,47362,D3,$42561,$1511,$0,$1856,39.93116900,-85.39386500
REPUBLIC SERVICES,INDIANAPOLIS,4935 ROBISON RD,Marion IN,46268,D3,$42500,$366,$0,$674,39.92169180,-86.24581602
GE ENGINE SERVICES,TERRE HAUTE,3390 E LOCUST ST,Vigo IN,47803,C2,$41591,$8355,$0,$34904,,
